YEAR;Brno - město;Brno-venkov
;#b71c1c;#0d47a1
1/2011;21255;5183
2/2011;21360;5191
3/2011;21231;5145
4/2011;20943;5096
5/2011;20716;5018
6/2011;20680;4949
7/2011;20512;4922
8/2011;20518;4895
9/2011;20324;4842
10/2011;20655;4875
11/2011;20770;4915
12/2011;21703;5070
1/2012;21797;5074
2/2012;21761;5075
3/2012;21784;5054
4/2012;21877;5050
5/2012;21905;5024
6/2012;21889;5004
7/2012;21897;4947
8/2012;21997;4933
9/2012;22068;4930
10/2012;22248;4917
11/2012;21901;4890
12/2012;21928;4859
1/2013;21935;4842
2/2013;22041;4817
3/2013;22099;4829
4/2013;22163;4835
5/2013;22139;4816
6/2013;22168;4815
7/2013;22139;4814
8/2013;22232;4819
9/2013;22232;4804
10/2013;22548;4808
11/2013;22680;4786
12/2013;23045;4809
1/2014;23072;4818
2/2014;23130;4794
3/2014;23144;4783
4/2014;23288;4767
5/2014;23237;4725
6/2014;23208;4722
7/2014;23151;4720
8/2014;23053;4680
9/2014;23335;4663
10/2014;23691;4660
11/2014;23874;4638
12/2014;23898;4638
1/2015;24032;4640
2/2015;23992;4667
3/2015;24012;4683
4/2015;24180;4683
5/2015;24168;4723
6/2015;24229;4725
7/2015;24160;4741
8/2015;24275;4756
9/2015;24543;4787
10/2015;24876;4811
11/2015;25001;4848
12/2015;25088;4873
1/2016;25261;4928
2/2016;25419;4965
3/2016;25548;4988
4/2016;25766;5014
5/2016;25898;5035
6/2016;26010;5104
7/2016;26093;5104
8/2016;26353;5118
9/2016;26707;5134
10/2016;27025;5160
11/2016;27235;5180
12/2016;27382;5199
1/2017;27607;5200
2/2017;27851;5211
3/2017;28072;5280
4/2017;28233;5268
5/2017;28391;5301
6/2017;28605;5323
7/2017;28691;5336
8/2017;29023;5346
9/2017;29171;5386
10/2017;29464;5409
11/2017;29584;5456
12/2017;29717;5485
1/2018;29912;5513
2/2018;30125;5573
3/2018;30284;5603
4/2018;30444;5646
5/2018;30662;5716
6/2018;30700;5753
7/2018;30871;5792
8/2018;31162;5831
9/2018;31448;5858
10/2018;31328;5935
11/2018;31653;5845
12/2018;32053;5958
1/2019;31895;6015
2/2019;31909;6038
3/2019;31830;6047
4/2019;31937;6091
5/2019;32011;6071
6/2019;32099;6110